dt,AverageTemperature,AverageTemperatureUncertainty,City,Country
1868-12-01,11.184,1.455,Mexico,Mexico
1869-01-01,12.453,2.074,Mexico,Mexico
1869-02-01,14.49,2.026,Mexico,Mexico
1869-03-01,16.201,1.346,Mexico,Mexico
1869-04-01,17.94,1.775,Mexico,Mexico
1869-05-01,18.347,1.283,Mexico,Mexico
1869-06-01,17.784000000000002,1.599,Mexico,Mexico
1869-07-01,17.504,1.3869999999999998,Mexico,Mexico
1869-08-01,17.044,1.404,Mexico,Mexico
1869-09-01,16.947,1.4169999999999998,Mexico,Mexico
1869-10-01,14.611,1.716,Mexico,Mexico
1869-11-01,14.664,2.549,Mexico,Mexico
1869-12-01,10.838,1.681,Mexico,Mexico
1870-01-01,12.485,2.248,Mexico,Mexico
1870-02-01,13.128,1.985,Mexico,Mexico
1870-03-01,16.089000000000002,1.6980000000000002,Mexico,Mexico
1870-04-01,17.137,1.528,Mexico,Mexico
1870-05-01,18.617,1.653,Mexico,Mexico
1870-06-01,18.33,1.516,Mexico,Mexico
1870-07-01,17.462,1.218,Mexico,Mexico
1870-08-01,17.226,1.203,Mexico,Mexico
1870-09-01,17.782,2.1830000000000003,Mexico,Mexico
1870-10-01,15.269,1.449,Mexico,Mexico
1870-11-01,13.217,1.635,Mexico,Mexico
1870-12-01,9.933,1.985,Mexico,Mexico
1871-01-01,11.338,1.773,Mexico,Mexico
1871-02-01,13.807,2.863,Mexico,Mexico
1871-03-01,15.902,2.063,Mexico,Mexico
1871-04-01,17.779,1.801,Mexico,Mexico
1871-05-01,17.881999999999994,1.6780000000000002,Mexico,Mexico
1871-06-01,17.617,1.277,Mexico,Mexico
1871-07-01,17.153000000000002,1.384,Mexico,Mexico
1871-08-01,18.063,0.95,Mexico,Mexico
1871-09-01,16.942999999999998,1.55,Mexico,Mexico
1871-10-01,14.755999999999998,1.185,Mexico,Mexico
1871-11-01,13.701,1.605,Mexico,Mexico
1871-12-01,11.991,1.926,Mexico,Mexico
1872-01-01,10.557,2.132,Mexico,Mexico
1872-02-01,13.349,1.53,Mexico,Mexico
1872-03-01,15.523,1.461,Mexico,Mexico
1872-04-01,18.002,1.604,Mexico,Mexico
1872-05-01,19.347,1.474,Mexico,Mexico
1872-06-01,18.29,1.539,Mexico,Mexico
1872-07-01,17.844,1.252,Mexico,Mexico
1872-08-01,17.296,1.3330000000000002,Mexico,Mexico
1872-09-01,17.48,1.178,Mexico,Mexico
1872-10-01,15.022,1.122,Mexico,Mexico
1872-11-01,11.921,1.585,Mexico,Mexico
1872-12-01,11.064,1.581,Mexico,Mexico
1873-01-01,10.539,1.587,Mexico,Mexico
1873-02-01,15.152,1.857,Mexico,Mexico
1873-03-01,15.882,1.5119999999999998,Mexico,Mexico
1873-04-01,16.432000000000002,1.842,Mexico,Mexico
1873-05-01,18.923,1.188,Mexico,Mexico
1873-06-01,17.675,1.422,Mexico,Mexico
1873-07-01,17.000999999999998,1.05,Mexico,Mexico
1873-08-01,16.836,1.111,Mexico,Mexico
1873-09-01,16.245,1.208,Mexico,Mexico
1873-10-01,14.895,1.3230000000000002,Mexico,Mexico
1873-11-01,12.1,1.19,Mexico,Mexico
1873-12-01,13.291,1.17,Mexico,Mexico
1874-01-01,12.063,1.652,Mexico,Mexico
1874-02-01,14.519,1.721,Mexico,Mexico
